"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,27,"BTN","Bhutan",1,"Bumthang","Dzongkhag","District","<U+0F56><U+0F74><U+0F58><U+0F0B><U+0F50><U+0F44><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44><U+0F0B><U+0F41><U+0F42>"," "
2,27,"BTN","Bhutan",2,"Chhukha","Dzongkhag","District","<U+0F46><U+0F74><U+0F0B><U+0F41><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44><U+0F0B><U+0F41><U+0F42>"," "
3,27,"BTN","Bhutan",3,"Dagana","Dzongkhag","District","<U+0F51><U+0F62><U+0F0B><U+0F51><U+0F40><U+0F62><U+0F0B><U+0F53><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44><U+0F0B><U+0F41><U+0F42>","Daga"
4,27,"BTN","Bhutan",4,"Gasa","Dzongkhag","District","<U+0F58><U+0F42><U+0F62><U+0F0B><U+0F66><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44><U+0F0B><U+0F41><U+0F42>"," "
5,27,"BTN","Bhutan",5,"Haa","Dzongkhag","District","<U+0F67><U+0F71>","Ha"
6,27,"BTN","Bhutan",6,"Lhuentse","Dzongkhag","District","<U+0F63><U+0FB7><U+0F74><U+0F53><U+0F0B><U+0F62><U+0FA9><U+0F7A><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44><U+0F0B><U+0F41><U+0F42>","Lhuntshi"
7,27,"BTN","Bhutan",7,"Monggar","Dzongkhag","District","<U+0F58><U+0F7C><U+0F44><U+0F0B><U+0F66><U+0F92><U+0F62><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44><U+0F0B><U+0F41><U+0F42>","Mongar"
8,27,"BTN","Bhutan",8,"Paro","Dzongkhag","District","<U+0F66><U+0FA4><U+0F0B><U+0F62><U+0F7C><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44><U+0F0B><U+0F41><U+0F42>"," "
9,27,"BTN","Bhutan",9,"Pemagatshel","Dzongkhag","District","<U+0F54><U+0F51><U+0F0B><U+0F58><U+0F0B><U+0F51><U+0F42><U+0F60><U+0F0B><U+0F5A><U+0F63><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44>","Pemagatsel"
10,27,"BTN","Bhutan",10,"Punakha","Dzongkhag","District","<U+0F66><U+0FA4><U+0F74><U+0F0B><U+0F53><U+0F0B><U+0F41><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44><U+0F0B><U+0F41><U+0F42>"," "
11,27,"BTN","Bhutan",11,"Samdrupjongkhar","Dzongkhag","District","<U+0F56><U+0F66><U+0F58><U+0F0B><U+0F42><U+0FB2><U+0F74><U+0F56><U+0F0B><U+0F63><U+0F97><U+0F7C><U+0F44><U+0F66><U+0F0B><U+0F58>","Samdrup Jongkhar"
12,27,"BTN","Bhutan",12,"Samtse","Dzongkhag","District","<U+0F56><U+0F66><U+0F58><U+0F0B><U+0F62><U+0FA9><U+0F7A><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44><U+0F0B><U+0F41><U+0F42>","Samchi"
13,27,"BTN","Bhutan",13,"Sarpang","Dzongkhag","District","<U+0F42><U+0F66><U+0F62><U+0F0B><U+0F66><U+0FA4><U+0F44><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44><U+0F0B><U+0F41><U+0F42><U+0F0B>","Geylegphug|Sarbhang"
14,27,"BTN","Bhutan",14,"Thimphu","Dzongkhag","District","<U+0F50><U+0F72><U+0F58><U+0F0B><U+0F55><U+0F74><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44><U+0F0B><U+0F41><U+0F42>","Tashi Chho Dzong"
15,27,"BTN","Bhutan",15,"Trashigang","Dzongkhag","District","<U+0F56><U+0F40><U+0FB2><U+0F0B><U+0F64><U+0F72><U+0F66><U+0F0B><U+0F66><U+0F92><U+0F44><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44>","Tashigang"
16,27,"BTN","Bhutan",16,"Trongsa","Dzongkhag","District","<U+0F40><U+0FB2><U+0F7C><U+0F44><U+0F0B><U+0F42><U+0F66><U+0F62><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44><U+0F0B><U+0F41><U+0F42>","Tongsa"
17,27,"BTN","Bhutan",17,"Tsirang","Dzongkhag","District","<U+0F62><U+0FA9><U+0F72><U+0F0B><U+0F62><U+0F44><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44><U+0F0B><U+0F41><U+0F42>","Chirang"
18,27,"BTN","Bhutan",18,"Wangduephodrang","Dzongkhag","District","<U+0F51><U+0F56><U+0F44><U+0F0B><U+0F60><U+0F51><U+0F74><U+0F66><U+0F0B><U+0F55><U+0F7C><U+0F0B><U+0F56><U+0FB2><U+0F44><U+0F0B>","Wangdi Phodrang|Andguphodang|Wangdue"
19,27,"BTN","Bhutan",19,"Yangtse","Dzongkhag","District","<U+0F56><U+0F40><U+0FB2><U+0F0B><U+0F64><U+0F72><U+0F66><U+0F0B><U+0F42><U+0FB1><U+0F44><U+0F0B><U+0F59><U+0F7A><U+0F0B><U+0F62>","Tashi Yangtse"
20,27,"BTN","Bhutan",20,"Zhemgang","Dzongkhag","District","<U+0F42><U+0F5E><U+0F58><U+0F66><U+0F0B><U+0F66><U+0F92><U+0F44><U+0F0B><U+0F62><U+0FAB><U+0F7C><U+0F44><U+0F0B><U+0F41><U+0F42>","Shemgang"
